REGION,COUNTRY,NAME,LAT,LON,LAT_DEG,LAT_MIN,LAT_HEMI,LON_DEG,LON_MIN,LON_HEMI,INDEX_NO,Field10,Field11,Combo192,Combo206,Combo210,Combo196,Combo218,Combo198,Combo216,Combo231,Combo223,Combo225,Combo234,Combo236,Field24,Combo238,Combo240,Combo242,Combo244,Combo246,Combo248,Combo254,Combo256,Combo258,Combo260,Combo264,Combo262,Combo266,Combo268,Combo270,Combo272,Combo274,Combo276,Combo278,Combo280,Combo282,Combo284,Combo288,Combo290,Combo292,Combo294,Combo296,Combo304,Combo300,Combo302,Combo306,Combo308,Combo310,Combo312,Combo317,Combo321,Combo319,Combo323,Combo325,Combo327,Combo329,Combo332,Combo335,Combo337,Combo339,Combo341,Combo343,Combo345,Combo347,Combo349,Combo351
14070,CL,ANTOFAGASTA,-23.65,-70.41666666666667,23,39,S,70,25,W,14660,125,22221,M,CB,G,N,Y,N,Y,,K,D,J,E,3,L,N,Y,Y,Y,Y,Y,Y,,Y,N,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,N,,N,Y,Y,Y,,Y,,Y,Y,Y,N,N,N,Y,Y,,Y,Y,Y,C,,M
14070,CL,MEJILLONES,-23.1,-70.46666666666667,23,6,S,70,28,W,14670,125,22251,S,CN,G,N,N,N,N,N,C,A,H,G,1,L,Y,,,N,Y,Y,Y,,,N,N,Y,,,Y,Y,Y,Y,Y,N,Y,Y,,,,Y,N,,N,Y,,,,,Y,,,,,,,,N,N,N,N,,C,,
14070,CL,CALETA PATILLOS,-20.733333333333334,-70.2,20,44,S,70,12,W,14671,125,22205,V,CN,F,,Y,,Y,Y,,B,J,,0,L,Y,,,,Y,Y,,,,,,Y,,Y,Y,,Y,,,,Y,,,,,,N,,,,,,,,,,,,,,,N,,N,,,,,,
14070,CL,TOCOPILLA,-22.083333333333332,-70.23333333333333,22,5,S,70,14,W,14720,125,22221,S,OR,F,N,N,N,,,A,A,J,H,3,L,Y,,Y,N,Y,Y,Y,,Y,N,N,Y,,,Y,Y,Y,,N,Y,Y,Y,,,,Y,,,N,Y,,,,Y,,,Y,,,,,Y,Y,N,N,N,Y,C,,S
14070,CL,IQUIQUE,-20.2,-70.16666666666667,20,12,S,70,10,W,14760,125,22233,S,CB,G,N,N,N,Y,Y,H,A,F,K,1,L,,,Y,N,Y,Y,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,N,,N,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,C,M,M
14070,CL,RADA DE ARICA,-18.466666666666665,-70.33333333333333,18,28,S,70,20,W,14800,125,22221,S,OR,P,N,Y,N,Y,,F,D,J,H,1,L,,,Y,,Y,Y,,,Y,,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,,,N,Y,Y,,,Y,Y,Y,Y,Y,Y,N,N,Y,Y,Y,Y,N,N,C,S,S
14830,PE,PUERTO ILO,-17.633333333333333,-71.36666666666666,17,38,S,71,22,W,14840,125,22182,V,OR,G,N,Y,N,Y,,D,E,E,F,1,L,,,Y,N,Y,Y,Y,,,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,Y,Y,,N,Y,Y,,,,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,Y,Y,C,,M
14830,PE,BAHIA DE MATARANI,-17.0,-72.11666666666666,17,0,S,72,7,W,14860,125,22182,S,CB,G,N,N,N,,Y,H,A,H,D,3,L,,,,N,Y,Y,Y,,Y,,Y,Y,Y,Y,Y,Y,Y,,Y,Y,Y,Y,,,,Y,Y,,N,Y,,,,,,Y,Y,Y,N,N,N,Y,N,N,Y,N,N,C,,S
14830,PE,BAHIA SAN NICOLAS,-15.25,-75.23333333333333,15,15,S,75,14,W,14895,125,,V,CB,G,N,Y,N,Y,Y,H,A,D,D,0,L,Y,Y,Y,N,Y,Y,Y,,,,Y,Y,Y,Y,Y,,Y,,,,Y,Y,,,,Y,,,N,N,N,N,,,,Y,,,,,,Y,N,N,N,,,D,,
14830,PE,CONCHAN OIL TERMINAL,-12.166666666666666,-77.0,12,10,S,77,0,W,14940,125,22170,V,OR,,,,,Y,,,,,E,1,L,,,,Y,Y,,Y,,,,,Y,Y,,,,Y,,Y,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,Y,Y,,Y,Y,C,,
